state,date,age,ethnicity,population
Johor,2022-01-01,0-4,overall,280.7
Johor,2022-01-01,0-4,bumi_malay,193.4
Johor,2022-01-01,0-4,bumi_other,6.2
Johor,2022-01-01,0-4,chinese,62.1
Johor,2022-01-01,0-4,indian,15.3
Johor,2022-01-01,0-4,other_citizen,1.8
Johor,2022-01-01,0-4,other_noncitizen,1.9
Johor,2022-01-01,15-19,overall,331.9
Johor,2022-01-01,15-19,bumi_malay,192.7
Johor,2022-01-01,15-19,bumi_other,5.5
Johor,2022-01-01,15-19,chinese,96.1
Johor,2022-01-01,15-19,indian,20.8
Johor,2022-01-01,15-19,other_citizen,3
Johor,2022-01-01,15-19,other_noncitizen,13.9
Johor,2022-01-01,20-24,overall,392.6
Johor,2022-01-01,20-24,bumi_malay,200.4
Johor,2022-01-01,20-24,bumi_other,5
Johor,2022-01-01,20-24,chinese,104
Johor,2022-01-01,20-24,indian,21.3
Johor,2022-01-01,20-24,other_citizen,3.7
Johor,2022-01-01,20-24,other_noncitizen,58.2
Johor,2022-01-01,25-29,overall,363.8
Johor,2022-01-01,25-29,bumi_malay,179
Johor,2022-01-01,25-29,bumi_other,3.1
Johor,2022-01-01,25-29,chinese,99.3
Johor,2022-01-01,25-29,indian,19.8
Johor,2022-01-01,25-29,other_citizen,1.1
Johor,2022-01-01,25-29,other_noncitizen,61.6
Johor,2022-01-01,30-34,overall,333.6
Johor,2022-01-01,30-34,bumi_malay,175.7
Johor,2022-01-01,30-34,bumi_other,3.8
Johor,2022-01-01,30-34,chinese,92.9
Johor,2022-01-01,30-34,indian,18.4
Johor,2022-01-01,30-34,other_citizen,1
Johor,2022-01-01,30-34,other_noncitizen,41.8
Johor,2022-01-01,35-39,overall,319
Johor,2022-01-01,35-39,bumi_malay,172.8
Johor,2022-01-01,35-39,bumi_other,6.3
Johor,2022-01-01,35-39,chinese,91.1
Johor,2022-01-01,35-39,indian,18.9
Johor,2022-01-01,35-39,other_citizen,0.6
Johor,2022-01-01,35-39,other_noncitizen,29.2
Johor,2022-01-01,40-44,overall,276.2
Johor,2022-01-01,40-44,bumi_malay,144.1
Johor,2022-01-01,40-44,bumi_other,4.7
Johor,2022-01-01,40-44,chinese,86.9
Johor,2022-01-01,40-44,indian,20
Johor,2022-01-01,40-44,other_citizen,1
Johor,2022-01-01,40-44,other_noncitizen,19.5
Johor,2022-01-01,45-49,overall,235.9
Johor,2022-01-01,45-49,bumi_malay,117.2
Johor,2022-01-01,45-49,bumi_other,4
Johor,2022-01-01,45-49,chinese,83
Johor,2022-01-01,45-49,indian,16.3
Johor,2022-01-01,45-49,other_citizen,1.4
Johor,2022-01-01,45-49,other_noncitizen,14.1
Johor,2022-01-01,50-54,overall,215.6
Johor,2022-01-01,50-54,bumi_malay,110
Johor,2022-01-01,50-54,bumi_other,2.5
Johor,2022-01-01,50-54,chinese,78.9
Johor,2022-01-01,50-54,indian,13.9
Johor,2022-01-01,50-54,other_citizen,0.7
Johor,2022-01-01,50-54,other_noncitizen,9.7
Johor,2022-01-01,55-59,overall,193.9
Johor,2022-01-01,55-59,bumi_malay,100.8
Johor,2022-01-01,55-59,bumi_other,1.8
Johor,2022-01-01,55-59,chinese,71.2
Johor,2022-01-01,55-59,indian,12.1
Johor,2022-01-01,55-59,other_citizen,0.6
Johor,2022-01-01,55-59,other_noncitizen,7.4
Johor,2022-01-01,60-64,overall,164.8
Johor,2022-01-01,60-64,bumi_malay,85.6
Johor,2022-01-01,60-64,bumi_other,1.3
Johor,2022-01-01,60-64,chinese,62.6
Johor,2022-01-01,60-64,indian,9.8
Johor,2022-01-01,60-64,other_citizen,0.6
Johor,2022-01-01,60-64,other_noncitizen,4.9
Johor,2022-01-01,65-69,overall,113.9
Johor,2022-01-01,65-69,bumi_malay,58.5
Johor,2022-01-01,65-69,bumi_other,1.1
Johor,2022-01-01,65-69,chinese,38.3
Johor,2022-01-01,65-69,indian,7.1
Johor,2022-01-01,65-69,other_citizen,0.8
Johor,2022-01-01,65-69,other_noncitizen,8.1
Johor,2022-01-01,70-74,overall,70.3
Johor,2022-01-01,70-74,bumi_malay,37.8
Johor,2022-01-01,70-74,bumi_other,0.9
Johor,2022-01-01,70-74,chinese,21.8
Johor,2022-01-01,70-74,indian,4.2
Johor,2022-01-01,70-74,other_citizen,0.4
Johor,2022-01-01,70-74,other_noncitizen,5.3
Johor,2022-01-01,75-79,overall,41.8
Johor,2022-01-01,75-79,bumi_malay,21.4
Johor,2022-01-01,75-79,bumi_other,0.6
Johor,2022-01-01,75-79,chinese,14.2
Johor,2022-01-01,75-79,indian,2.6
Johor,2022-01-01,75-79,other_citizen,0.1
Johor,2022-01-01,75-79,other_noncitizen,2.9
Johor,2022-01-01,80-84,overall,24.5
Johor,2022-01-01,80-84,bumi_malay,12.3
Johor,2022-01-01,80-84,bumi_other,0.4
Johor,2022-01-01,80-84,chinese,7.7
Johor,2022-01-01,80-84,indian,1.1
Johor,2022-01-01,80-84,other_citizen,0
Johor,2022-01-01,80-84,other_noncitizen,3
Johor,2022-01-01,85 and above,overall,19.4
Johor,2022-01-01,85 and above,bumi_malay,10.1
Johor,2022-01-01,85 and above,bumi_other,0.6
Johor,2022-01-01,85 and above,chinese,4.3
Johor,2022-01-01,85 and above,indian,1.1
Johor,2022-01-01,85 and above,other_citizen,0
Johor,2022-01-01,85 and above,other_noncitizen,3.4
Johor,2022-01-01,0-4,overall,140.3
Johor,2022-01-01,0-4,bumi_malay,95.9
Johor,2022-01-01,0-4,bumi_other,3.1
Johor,2022-01-01,0-4,chinese,31.7
Johor,2022-01-01,0-4,indian,7.9
Johor,2022-01-01,0-4,other_citizen,0.9
Johor,2022-01-01,0-4,other_noncitizen,0.8
Johor,2022-01-01,15-19,overall,157
Johor,2022-01-01,15-19,bumi_malay,93.5
Johor,2022-01-01,15-19,bumi_other,2.8
Johor,2022-01-01,15-19,chinese,46.8
Johor,2022-01-01,15-19,indian,10.3
Johor,2022-01-01,15-19,other_citizen,1
Johor,2022-01-01,15-19,other_noncitizen,2.7
Johor,2022-01-01,20-24,overall,171.3
Johor,2022-01-01,20-24,bumi_malay,97.1
Johor,2022-01-01,20-24,bumi_other,2.8
Johor,2022-01-01,20-24,chinese,50
Johor,2022-01-01,20-24,indian,10.3
Johor,2022-01-01,20-24,other_citizen,1.4
Johor,2022-01-01,20-24,other_noncitizen,9.8
Johor,2022-01-01,25-29,overall,155.5
Johor,2022-01-01,25-29,bumi_malay,86.6
Johor,2022-01-01,25-29,bumi_other,2.1
Johor,2022-01-01,25-29,chinese,48.1
Johor,2022-01-01,25-29,indian,10
Johor,2022-01-01,25-29,other_citizen,0.8
Johor,2022-01-01,25-29,other_noncitizen,7.9
Johor,2022-01-01,30-34,overall,148.8
Johor,2022-01-01,30-34,bumi_malay,85.7
Johor,2022-01-01,30-34,bumi_other,1.7
Johor,2022-01-01,30-34,chinese,45.6
Johor,2022-01-01,30-34,indian,8.9
Johor,2022-01-01,30-34,other_citizen,0.5
Johor,2022-01-01,30-34,other_noncitizen,6.4
Johor,2022-01-01,35-39,overall,145.6
Johor,2022-01-01,35-39,bumi_malay,85.3
Johor,2022-01-01,35-39,bumi_other,2.7
Johor,2022-01-01,35-39,chinese,44
Johor,2022-01-01,35-39,indian,9
Johor,2022-01-01,35-39,other_citizen,0.1
Johor,2022-01-01,35-39,other_noncitizen,4.5
Johor,2022-01-01,40-44,overall,128
Johor,2022-01-01,40-44,bumi_malay,70.8
Johor,2022-01-01,40-44,bumi_other,1.9
Johor,2022-01-01,40-44,chinese,41.8
Johor,2022-01-01,40-44,indian,9.6
Johor,2022-01-01,40-44,other_citizen,0.4
Johor,2022-01-01,40-44,other_noncitizen,3.5
Johor,2022-01-01,45-49,overall,110.3
Johor,2022-01-01,45-49,bumi_malay,57.8
Johor,2022-01-01,45-49,bumi_other,1.2
Johor,2022-01-01,45-49,chinese,40.1
Johor,2022-01-01,45-49,indian,8.1
Johor,2022-01-01,45-49,other_citizen,0.3
Johor,2022-01-01,45-49,other_noncitizen,2.8
Johor,2022-01-01,50-54,overall,105.8
Johor,2022-01-01,50-54,bumi_malay,55.9
Johor,2022-01-01,50-54,bumi_other,1.1
Johor,2022-01-01,50-54,chinese,39.2
Johor,2022-01-01,50-54,indian,7.2
Johor,2022-01-01,50-54,other_citizen,0.3
Johor,2022-01-01,50-54,other_noncitizen,2.1
Johor,2022-01-01,55-59,overall,93.3
Johor,2022-01-01,55-59,bumi_malay,50.7
Johor,2022-01-01,55-59,bumi_other,0.7
Johor,2022-01-01,55-59,chinese,34.2
Johor,2022-01-01,55-59,indian,5.8
Johor,2022-01-01,55-59,other_citizen,0.3
Johor,2022-01-01,55-59,other_noncitizen,1.5
Johor,2022-01-01,60-64,overall,81
Johor,2022-01-01,60-64,bumi_malay,43.1
Johor,2022-01-01,60-64,bumi_other,0.5
Johor,2022-01-01,60-64,chinese,30.8
Johor,2022-01-01,60-64,indian,5.1
Johor,2022-01-01,60-64,other_citizen,0.2
Johor,2022-01-01,60-64,other_noncitizen,1.2
Johor,2022-01-01,65-69,overall,58.2
Johor,2022-01-01,65-69,bumi_malay,30.3
Johor,2022-01-01,65-69,bumi_other,0.5
Johor,2022-01-01,65-69,chinese,19.6
Johor,2022-01-01,65-69,indian,4
Johor,2022-01-01,65-69,other_citizen,0.3
Johor,2022-01-01,65-69,other_noncitizen,3.6
Johor,2022-01-01,70-74,overall,35.7
Johor,2022-01-01,70-74,bumi_malay,19.3
Johor,2022-01-01,70-74,bumi_other,0.5
Johor,2022-01-01,70-74,chinese,11.1
Johor,2022-01-01,70-74,indian,2.4
Johor,2022-01-01,70-74,other_citizen,0.2
Johor,2022-01-01,70-74,other_noncitizen,2.2
Johor,2022-01-01,75-79,overall,21.7
Johor,2022-01-01,75-79,bumi_malay,11.4
Johor,2022-01-01,75-79,bumi_other,0.3
Johor,2022-01-01,75-79,chinese,7.3
Johor,2022-01-01,75-79,indian,1.5
Johor,2022-01-01,75-79,other_citizen,0.1
Johor,2022-01-01,75-79,other_noncitizen,1.2
Johor,2022-01-01,80-84,overall,12.6
Johor,2022-01-01,80-84,bumi_malay,6.7
Johor,2022-01-01,80-84,bumi_other,0.2
Johor,2022-01-01,80-84,chinese,3.9
Johor,2022-01-01,80-84,indian,0.6
Johor,2022-01-01,80-84,other_citizen,0
Johor,2022-01-01,80-84,other_noncitizen,1.2
Johor,2022-01-01,85 and above,overall,8.4
Johor,2022-01-01,85 and above,bumi_malay,4.8
Johor,2022-01-01,85 and above,bumi_other,0.3
Johor,2022-01-01,85 and above,chinese,1.5
Johor,2022-01-01,85 and above,indian,0.5
Johor,2022-01-01,85 and above,other_citizen,0
Johor,2022-01-01,85 and above,other_noncitizen,1.2
Johor,2022-01-01,0-4,overall,140.4
Johor,2022-01-01,0-4,bumi_malay,97.5
Johor,2022-01-01,0-4,bumi_other,3.1
Johor,2022-01-01,0-4,chinese,30.4
Johor,2022-01-01,0-4,indian,7.4
Johor,2022-01-01,0-4,other_citizen,0.9
Johor,2022-01-01,0-4,other_noncitizen,1
Johor,2022-01-01,15-19,overall,175
Johor,2022-01-01,15-19,bumi_malay,99.2
Johor,2022-01-01,15-19,bumi_other,2.7
Johor,2022-01-01,15-19,chinese,49.3
Johor,2022-01-01,15-19,indian,10.5
Johor,2022-01-01,15-19,other_citizen,2
Johor,2022-01-01,15-19,other_noncitizen,11.2
Johor,2022-01-01,20-24,overall,221.2
Johor,2022-01-01,20-24,bumi_malay,103.4
Johor,2022-01-01,20-24,bumi_other,2.2
Johor,2022-01-01,20-24,chinese,54
Johor,2022-01-01,20-24,indian,11
Johor,2022-01-01,20-24,other_citizen,2.3
Johor,2022-01-01,20-24,other_noncitizen,48.3
Johor,2022-01-01,25-29,overall,208.3
Johor,2022-01-01,25-29,bumi_malay,92.3
Johor,2022-01-01,25-29,bumi_other,1
Johor,2022-01-01,25-29,chinese,51.2
Johor,2022-01-01,25-29,indian,9.8
Johor,2022-01-01,25-29,other_citizen,0.2
Johor,2022-01-01,25-29,other_noncitizen,53.7
Johor,2022-01-01,30-34,overall,184.8
Johor,2022-01-01,30-34,bumi_malay,90.1
Johor,2022-01-01,30-34,bumi_other,2.1
Johor,2022-01-01,30-34,chinese,47.3
Johor,2022-01-01,30-34,indian,9.5
Johor,2022-01-01,30-34,other_citizen,0.5
Johor,2022-01-01,30-34,other_noncitizen,35.4
Johor,2022-01-01,35-39,overall,173.4
Johor,2022-01-01,35-39,bumi_malay,87.5
Johor,2022-01-01,35-39,bumi_other,3.6
Johor,2022-01-01,35-39,chinese,47.1
Johor,2022-01-01,35-39,indian,10
Johor,2022-01-01,35-39,other_citizen,0.5
Johor,2022-01-01,35-39,other_noncitizen,24.7
Johor,2022-01-01,40-44,overall,148.3
Johor,2022-01-01,40-44,bumi_malay,73.3
Johor,2022-01-01,40-44,bumi_other,2.9
Johor,2022-01-01,40-44,chinese,45.1
Johor,2022-01-01,40-44,indian,10.3
Johor,2022-01-01,40-44,other_citizen,0.6
Johor,2022-01-01,40-44,other_noncitizen,16
Johor,2022-01-01,45-49,overall,125.6
Johor,2022-01-01,45-49,bumi_malay,59.3
Johor,2022-01-01,45-49,bumi_other,2.8
Johor,2022-01-01,45-49,chinese,42.9
Johor,2022-01-01,45-49,indian,8.2
Johor,2022-01-01,45-49,other_citizen,1.1
Johor,2022-01-01,45-49,other_noncitizen,11.2
Johor,2022-01-01,50-54,overall,109.8
Johor,2022-01-01,50-54,bumi_malay,54.1
Johor,2022-01-01,50-54,bumi_other,1.4
Johor,2022-01-01,50-54,chinese,39.7
Johor,2022-01-01,50-54,indian,6.7
Johor,2022-01-01,50-54,other_citizen,0.4
Johor,2022-01-01,50-54,other_noncitizen,7.5
Johor,2022-01-01,55-59,overall,100.6
Johor,2022-01-01,55-59,bumi_malay,50.1
Johor,2022-01-01,55-59,bumi_other,1.1
Johor,2022-01-01,55-59,chinese,36.9
Johor,2022-01-01,55-59,indian,6.3
Johor,2022-01-01,55-59,other_citizen,0.3
Johor,2022-01-01,55-59,other_noncitizen,5.9
Johor,2022-01-01,60-64,overall,83.8
Johor,2022-01-01,60-64,bumi_malay,42.5
