date,state,pledges
2022-01-01,Johor,20
2022-01-02,Johor,17
2022-01-03,Johor,5
2022-01-04,Johor,16
2022-01-05,Johor,39
2022-01-06,Johor,34
2022-01-07,Johor,12
2022-01-08,Johor,1
2022-01-09,Johor,7
2022-01-10,Johor,32
2022-01-11,Johor,40
2022-01-12,Johor,20
2022-01-13,Johor,20
2022-01-14,Johor,5
2022-01-15,Johor,7
2022-01-16,Johor,7
2022-01-17,Johor,5
2022-01-18,Johor,22
2022-01-19,Johor,17
2022-01-20,Johor,6
2022-01-21,Johor,0
2022-01-22,Johor,11
2022-01-23,Johor,4
2022-01-24,Johor,21
2022-01-25,Johor,5
2022-01-26,Johor,16
2022-01-27,Johor,55
2022-01-28,Johor,0
2022-01-29,Johor,0
2022-01-30,Johor,35
2022-01-31,Johor,26
2022-02-01,Johor,5
2022-02-02,Johor,2
2022-02-03,Johor,1
2022-02-04,Johor,4
2022-02-05,Johor,2
2022-02-06,Johor,13
2022-02-07,Johor,4
2022-02-08,Johor,2
2022-02-09,Johor,9
2022-02-10,Johor,1
2022-02-11,Johor,12
2022-02-12,Johor,0
2022-02-13,Johor,0
2022-02-14,Johor,100
2022-02-15,Johor,23
2022-02-16,Johor,8
2022-02-17,Johor,4
2022-02-18,Johor,10
2022-02-19,Johor,3
2022-02-20,Johor,6
2022-02-21,Johor,10
2022-02-22,Johor,46
2022-02-23,Johor,10
2022-02-24,Johor,5
2022-02-25,Johor,6
2022-02-26,Johor,6
2022-02-27,Johor,5
2022-02-28,Johor,17
2022-03-01,Johor,5
2022-03-02,Johor,55
2022-03-03,Johor,5
2022-03-04,Johor,1
2022-03-05,Johor,3
2022-03-06,Johor,10
2022-03-07,Johor,31
2022-03-08,Johor,31
2022-03-09,Johor,17
2022-03-10,Johor,11
2022-03-11,Johor,3
2022-03-12,Johor,6
2022-03-13,Johor,7
2022-03-14,Johor,9
2022-03-15,Johor,6
2022-03-16,Johor,3
2022-03-17,Johor,3
2022-03-18,Johor,2
2022-03-19,Johor,7
2022-03-20,Johor,11
2022-03-21,Johor,75
2022-03-22,Johor,33
2022-03-23,Johor,23
2022-03-24,Johor,5
2022-03-25,Johor,12
2022-03-26,Johor,17
2022-03-27,Johor,14
2022-03-28,Johor,26
2022-03-29,Johor,24
2022-03-30,Johor,15
2022-03-31,Johor,41
2022-04-01,Johor,22
2022-04-02,Johor,7
2022-04-03,Johor,6
2022-04-04,Johor,6
2022-04-05,Johor,5
2022-04-06,Johor,1
2022-04-07,Johor,3
2022-04-08,Johor,7
2022-04-09,Johor,2
2022-04-10,Johor,6
2022-04-11,Johor,14
2022-04-12,Johor,23
2022-04-13,Johor,11
2022-04-14,Johor,1
2022-04-15,Johor,3
2022-04-16,Johor,5
2022-04-17,Johor,10
2022-04-18,Johor,13
2022-04-19,Johor,5
2022-04-20,Johor,5
2022-04-21,Johor,5
2022-04-22,Johor,4
2022-04-23,Johor,6
2022-04-24,Johor,10
2022-04-25,Johor,15
2022-04-26,Johor,1
2022-04-27,Johor,5
2022-04-28,Johor,8
